14625.931640625|-14798.408203125,15483|-8099.76513671875,15483|-11899.658203125,15483|-10299.703125,15483|-7699.77587890625,15483|-10899.685546875,15483|-6799.80078125,14699.4931640625|-14685.087890625,12643|-6188.8662109375,15483|-8599.75,15483|-13499.61328125,5851.02294921875|15483,-3725.0419921875|15483,15483|-11099.6796875,-15483|9399.732421875,15483|-7699.77587890625,15483|-11999.6552734375,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14699.4931640625|-14685.087890625,15483|-6699.80419921875,15483|-6699.80419921875,15483|-13599.6103515625,5851.02294921875|15483,15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-13599.6103515625,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-9299.7314453125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-6699.80419921875,14625.931640625|-14798.408203125,15483|-6699.80419921875,15483|-6699.80419921875,15483|-11199.6767578125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,14625.931640625|-14798.408203125,-12999.626953125|-15483,-3399.89794921875|-15483,6199.830078125|-15483,
